Type,Sub-Type,Detail
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.transforms.windowing.Window'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.util.AggregatorImpl'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.util.SerializableUtils'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.util.WindowedValue'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.util.common.Counter'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.KV'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.PCollection'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.PCollectionList'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.PCollectionTuple'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.PCollectionView'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.PInput'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.PObject'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.PObjectValueTuple'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.POutput'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.TupleTag'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.TypeDescriptor'.
Code Smell,Dead Code,Remove this unused import 'com.google.cloud.dataflow.sdk.values.TypedPValue'.
Code Smell,Dead Code,Remove this unused import 'com.google.common.base.Joiner'.
Code Smell,Dead Code,Remove this unused import 'com.google.common.base.MoreObjects.ToStringHelper'.
